EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
105105,4,4302,5,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2021,40,8,0,Crisis obstructiva bronquial (J40-J46)
108100,5,5701,8,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2025,50,34,0,"COVID-19, virus no identificado (U07.2)"
200774,7,7110,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2023,33,7,30,Bronquitis/Bronquiolitis aguda (J20-J21)
200167,10,10101,24,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2019,2,5,0,Influenza (J09-J11)
118817,8,8101,18,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,32,5,4,Influenza (J09-J11)
114103,13,13131,14,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2018,29,6,145,Neumonía (J12-J18)
200097,2,2101,3,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2023,8,35,0,"COVID-19, virus identificado (U07.1)"
200137,13,13128,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,24,34,0,"COVID-19, virus no identificado (U07.2)"
120811,8,8301,20,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,53,34,0,"COVID-19, virus no identificado (U07.2)"
114101,13,13201,14,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2019,37,9,74,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200738,4,4304,5,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2014,8,4,1,IRA alta (J00-J06)
200757,7,7301,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2025,15,8,2,Crisis obstructiva bronquial (J40-J46)
107109,5,5804,7,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2025,45,8,12,Crisis obstructiva bronquial (J40-J46)
109811,13,13302,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2015,19,7,54,Bronquitis/Bronquiolitis aguda (J20-J21)
103104,2,2102,3,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2015,15,5,0,Influenza (J09-J11)
200348,2,2201,3,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2021,51,5,0,Influenza (J09-J11)
200459,9,9108,21,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2022,37,6,8,Neumonía (J12-J18)
