EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
,,,,,,,,,,,,,,,2025,33,6,Neumonía (J12-J18),27,0,0,2,6,19
,,,,,,,,,,,,,,,2025,8,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,12,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,8,4,IRA Alta (J00-J06),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,1,4,IRA Alta (J00-J06),23,0,4,4,14,1
,,,,,,,,,,,,,,,2025,30,8,Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,10,6,Neumonía (J12-J18),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,13,6,Neumonía (J12-J18),0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,33,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,34,8,Crisis obstructiva bronquial (J40-J46),5,0,0,3,1,1
,,,,,,,,,,,,,,,2025,35,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,18,8,Crisis obstructiva bronquial (J40-J46),1,0,1,0,0,0
,,,,,,,,,,,,,,,2023,23,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,49,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,15,4,IRA Alta (J00-J06),169,4,30,54,68,13
,,,,,,,,,,,,,,,2026,7,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),24,1,1,0,17,5
,,,,,,,,,,,,,,,2026,3,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,10,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),9,0,0,4,5,0
,,,,,,,,,,,,,,,2024,14,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",2,0,1,0,1,0
,,,,,,,,,,,,,,,2026,6,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",7,0,0,0,3,4
,,,,,,,,,,,,,,,2024,27,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",1,0,0,0,0,1
,,,,,,,,,,,,,,,2024,2,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,11,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,43,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,33,5,Influenza (J09-J11),2,0,1,0,1,0
,,,,,,,,,,,,,,,2024,41,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2021,40,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,33,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2022,18,8,Crisis obstructiva bronquial (J40-J46),6,0,1,2,0,3
,,,,,,,,,,,,,,,2026,11,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),247,11,29,59,122,26
,,,,,,,,,,,,,,,2025,30,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,35,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,14,4,IRA Alta (J00-J06),25,0,4,4,15,2
,,,,,,,,,,,,,,,2024,51,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,48,6,Neumonía (J12-J18),1,0,0,0,0,1
,,,,,,,,,,,,,,,2025,53,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,36,6,Neumonía (J12-J18),4,0,0,0,3,1
,,,,,,,,,,,,,,,2025,28,7,Bronquitis/bronquiolitis aguda (J20-J21),26,0,1,2,17,6
,,,,,,,,,,,,,,,2022,33,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,15,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",2,0,1,1,0,0
,,,,,,,,,,,,,,,2025,41,6,Neumonía (J12-J18),1,0,0,0,0,1
,,,,,,,,,,,,,,,2022,41,8,Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,46,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,6,8,Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2
,,,,,,,,,,,,,,,2025,23,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,22,7,Bronquitis/bronquiolitis aguda (J20-J21),53,0,4,6,28,15
,,,,,,,,,,,,,,,2025,22,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2022,52,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",23,0,5,1,15,2
,,,,,,,,,,,,,,,2025,26,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,24,8,Crisis obstructiva bronquial (J40-J46),6,0,0,3,3,0
,,,,,,,,,,,,,,,2025,52,7,Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,36,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,52,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,12,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,9,0,0,2,5,2
,,,,,,,,,,,,,,,2026,6,8,Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
,,,,,,,,,,,,,,,2021,19,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,39,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,27,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",1,0,0,0,1,0
,,,,,,,,,,,,,,,2026,15,8,Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,6,6,Neumonía (J12-J18),2,0,0,0,2,0
,,,,,,,,,,,,,,,2026,4,8,Crisis obstructiva bronquial (J40-J46),5,0,0,0,3,2
,,,,,,,,,,,,,,,2025,1,4,IRA Alta (J00-J06),15,1,4,2,6,2
,,,,,,,,,,,,,,,2024,34,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
