EstablecimientoCodigo,Cluster,Volumen_Total,Promedio_Semanal,Max_Semanal,Semanas_Con_Datos,RegionCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,RegionNombre
133170,3,21901.0,33.53905053598775,126.0,653,10,33,1,1.0,Los Lagos
124145,3,21613.0,33.09800918836141,359.0,590,10,24,1,1.0,Los Lagos
200155,3,20833.0,31.903522205206738,212.0,296,9,21,1,1.0,Araucanía
200882,3,20516.0,31.418070444104135,237.0,252,14,22,1,1.0,Los Ríos
200828,3,20433.0,31.290964777947934,195.0,295,16,17,1,1.0,Ñuble
201015,3,20279.0,31.055130168453292,345.0,177,13,10,1,1.0,Metropolitana
107109,3,20274.0,31.047473200612558,229.0,303,5,7,1,1.0,Valparaíso
200970,3,20127.0,30.822358346094948,200.0,286,9,21,1,1.0,Araucanía
200967,3,19846.0,30.392036753445634,201.0,285,13,13,1,1.0,Metropolitana
200744,3,19211.0,29.419601837672282,130.0,557,13,9,1,1.0,Metropolitana
108104,3,18825.0,28.828483920367535,204.0,339,5,8,1,1.0,Valparaíso
116106,3,17493.0,26.788667687595712,114.0,651,7,16,1,1.0,Maule
121119,3,17234.0,26.392036753445634,168.0,314,9,21,1,1.0,Araucanía
200773,3,17073.0,26.145482388973967,196.0,317,7,16,1,1.0,Maule
107106,3,17006.0,26.042879019908117,193.0,301,5,7,1,1.0,Valparaíso
125104,3,16939.0,25.940275650842267,148.0,650,11,25,1,1.0,Aysén
200785,3,16492.0,25.255742725880552,194.0,317,14,22,1,1.0,Los Ríos
200786,3,16422.0,25.14854517611026,183.0,319,14,22,1,1.0,Los Ríos
121201,3,16091.0,24.641653905053598,159.0,312,9,21,1,1.0,Araucanía
200957,3,16079.0,24.623277182235835,156.0,285,8,19,1,1.0,Biobío
200949,3,15694.0,24.033690658499236,136.0,548,3,4,1,1.0,Atacama
200748,3,15609.0,23.903522205206738,185.0,316,10,23,1,1.0,Los Lagos
107103,3,15596.0,23.883614088820828,169.0,303,5,7,1,1.0,Valparaíso
200972,3,14787.0,22.644716692189892,167.0,271,8,20,1,1.0,Biobío
200777,3,14619.0,22.387442572741193,189.0,290,7,16,1,1.0,Maule
105105,3,13789.0,21.116385911179172,101.0,646,4,5,1,1.0,Coquimbo
200738,3,13712.0,20.998468606431853,150.0,501,4,5,1,1.0,Coquimbo
201215,3,13546.0,20.744257274119448,176.0,212,5,8,1,1.0,Valparaíso
200861,3,13411.0,20.5375191424196,143.0,316,6,15,1,1.0,O'Higgins
200787,3,13310.0,20.382848392036752,119.0,315,14,22,1,1.0,Los Ríos
200788,3,13178.0,20.180704441041346,138.0,319,14,22,1,1.0,Los Ríos
200735,3,13078.0,20.027565084226648,102.0,600,10,33,1,1.0,Los Lagos
200913,3,12658.0,19.3843797856049,131.0,295,2,3,1,1.0,Antofagasta
125103,3,12554.0,19.22511485451761,217.0,623,11,25,1,1.0,Aysén
200997,3,12477.0,19.10719754977029,140.0,263,5,7,1,1.0,Valparaíso
200910,3,12041.0,18.43950995405819,137.0,297,2,3,1,1.0,Antofagasta
201001,3,11811.0,18.08728943338438,214.0,192,5,7,1,1.0,Valparaíso
201002,3,11571.0,17.719754977029098,132.0,275,5,7,1,1.0,Valparaíso
201000,3,11189.0,17.13476263399694,165.0,208,5,7,1,1.0,Valparaíso
201004,3,11079.0,16.966309341500764,158.0,207,5,7,1,1.0,Valparaíso
124140,3,11055.0,16.92955589586524,77.0,639,10,24,1,1.0,Los Lagos
200741,3,10982.0,16.817764165390507,167.0,347,4,5,1,1.0,Coquimbo
200731,3,10816.0,16.563552833078102,112.0,287,5,6,1,1.0,Valparaíso
201169,3,10759.0,16.47626339969372,132.0,216,5,8,1,1.0,Valparaíso
200746,3,10758.0,16.474732006125574,71.0,622,8,28,1,1.0,Biobío
200611,3,10496.0,16.073506891271055,324.0,66,5,6,1,1.0,Valparaíso
200929,3,10483.0,16.053598774885145,107.0,299,9,21,1,1.0,Araucanía
200781,3,10329.0,15.817764165390505,117.0,204,7,16,1,1.0,Maule
201079,3,10223.0,15.655436447166922,152.0,235,12,26,1,1.0,Magallanes
200767,3,10104.0,15.473200612557427,127.0,311,7,16,1,1.0,Maule
200784,3,9982.0,15.286370597243492,117.0,310,7,16,1,1.0,Maule
200763,3,9788.0,14.989280245022972,97.0,318,7,16,1,1.0,Maule
200774,3,9633.0,14.751914241960185,102.0,316,7,16,1,1.0,Maule
200858,3,9487.0,14.52833078101072,135.0,539,6,15,1,1.0,O'Higgins
200912,3,9394.0,14.385911179173048,98.0,271,2,3,1,1.0,Antofagasta
200837,3,9053.0,13.863705972434916,123.0,293,16,17,1,1.0,Ñuble
200976,3,8963.0,13.725880551301685,185.0,132,8,20,1,1.0,Biobío
200076,3,8947.0,13.701378254211333,107.0,330,10,24,1,1.0,Los Lagos
126704,3,8339.0,12.770290964777947,97.0,433,12,26,1,1.0,Magallanes
200766,3,8005.0,12.258805513016846,101.0,315,7,16,1,1.0,Maule
200833,3,7990.0,12.23583460949464,103.0,291,16,17,1,1.0,Ñuble
201194,3,7983.0,12.225114854517612,107.0,211,6,15,1,1.0,O'Higgins
200778,3,7310.0,11.19448698315467,110.0,290,7,16,1,1.0,Maule
201178,3,7194.0,11.016845329249618,133.0,115,4,5,1,1.0,Coquimbo
200739,3,7085.0,10.849923430321592,72.0,553,4,5,1,1.0,Coquimbo
200096,3,6893.0,10.555895865237366,62.0,554,1,2,1,1.0,Tarapacá
