EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,TipoEstablecimiento_Centro de Diagnóstico y Terapeútico (CDT),TipoEstablecimiento_Centro de Salud Familiar (CESFAM),TipoEstablecimiento_Hospital,TipoEstablecimiento_Hospital ,TipoEstablecimiento_Servicio de Atención Primaria de Urgencia (SAPU),TipoEstablecimiento_Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),TipoEstablecimiento_Servicio de Urgencia Rural (SUR),DependenciaAdministrativa_Delegados ,DependenciaAdministrativa_Municipal,DependenciaAdministrativa_Municipal ,DependenciaAdministrativa_Otra Institución,DependenciaAdministrativa_Servicio de Salud,TipoUrgencia_NO APLICA,TipoUrgencia_PENDIENTE,TipoUrgencia_URGENCIA AMBULATORIA,TipoUrgencia_URGENCIA AMBULATORIA (SAPU),TipoUrgencia_URGENCIA AMBULATORIA (SAR),TipoUrgencia_URGENCIA AMBULATORIA (SUR),TipoUrgencia_URGENCIA ESPECIALIZADA,TipoUrgencia_URGENCIA HOSPITALARIA (UEH),Causa_Bronquitis/Bronquiolitis aguda (J20-J21),"Causa_COVID-19, virus identificado (U07.1)","Causa_COVID-19, virus no identificado (U07.2)",Causa_Crisis obstructiva bronquial (J40-J46),Causa_IRA alta (J00-J06),Causa_Influenza (J09-J11),Causa_Neumonía (J12-J18),"Causa_Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
124881,10,10101,24,1,1.0,2017,15,7,41,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
118810,8,8101,18,1,1.0,2015,12,4,117,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
117102,16,16301,17,3,3.0,2018,35,8,58,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
200189,13,13102,11,1,1.0,2023,27,35,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
200076,10,10401,24,1,1.0,2020,44,34,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
107800,5,5109,7,1,1.0,2025,3,5,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
118806,8,8101,18,1,1.0,2021,29,6,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
103101,2,2201,3,3,3.0,2023,15,9,15,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
200146,6,6101,15,1,1.0,2024,7,9,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
123102,10,10305,23,2,1.0,2024,33,9,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
